DATE,DOMAIN,LOCATION,VALUE,TRANSACTION_COUNT
44883,MEDICAL,Kannur,1084227.0,1637.0
44903,RETAIL,Delhi,1088663.0,905.0
44817,INTERNATIONAL,Ajmer,1188945.0,1187.0
44773,MEDICAL,Bhopal,1050701.0,2076.0
44573,INVESTMENTS,Patiala,467332.0,1564.0
44714,PUBLIC,Kullu,983207.0,1375.0
44828,PUBLIC,Trichy,721344.0,1343.0
44600,RETAIL,Lunglei,598112.0,2199.0
44875,INTERNATIONAL,Srinagar,384250.0,758.0
44801,RESTRAUNT,Bidar,1034202.0,1241.0
44909,PUBLIC,Indore,729104.0,550.0
44839,RETAIL,Ambala,719562.0,638.0
44865,RETAIL,Kannur,413877.0,2364.0
44656,PUBLIC,Srinagar,411877.0,1576.0
44724,RETAIL,Kochin,399842.0,773.0
44778,PUBLIC,Delhi,862490.0,1386.0
44861,INVESTMENTS,Ahmedabad,830661.0,2237.0
44633,INVESTMENTS,Mon,701288.0,669.0
44627,MEDICAL,Srinagar,512578.0,1150.0
44789,RETAIL,Mathura,1179333.0,1401.0
44902,INTERNATIONAL,Madurai,404094.0,997.0
44802,MEDICAL,Durg,580185.0,2530.0
44574,INVESTMENTS,Jaipur,1168242.0,2148.0
44815,RETAIL,Lunglei,1129597.0,471.0
44815,RESTRAUNT,Bombay,1143723.0,918.0
44619,MEDICAL,Kanpur,441258.0,545.0
44597,INVESTMENTS,Patiala,1104828.0,2157.0
44777,RESTRAUNT,Bombay,690391.0,590.0
44815,RESTRAUNT,Akola,775952.0,2315.0
44628,INVESTMENTS,Delhi,945574.0,1470.0
44635,MEDICAL,Ajmer,319865.0,1640.0
44888,INTERNATIONAL,Lunglei,827682.0,934.0
44632,RESTRAUNT,Daman,758021.0,762.0
44712,RESTRAUNT,Ambala,659806.0,796.0
44812,RESTRAUNT,Surat,1086475.0,1344.0
44590,INTERNATIONAL,Betul,1053082.0,2488.0
44654,INVESTMENTS,Madurai,956843.0,1797.0
44725,INVESTMENTS,Konark,567918.0,1657.0
44769,EDUCATION,Ranchi,792841.0,1161.0
44686,MEDICAL,Hyderabad,937731.0,2494.0
44893,PUBLIC,Kota,1086619.0,468.0
44679,MEDICAL,Kota,1097031.0,2324.0
44791,PUBLIC,Ambala,737620.0,474.0
44761,MEDICAL,Ranchi,1039719.0,1958.0
44820,PUBLIC,Banglore,534349.0,1953.0
44742,EDUCATION,Konark,828113.0,1438.0
44717,MEDICAL,Ranchi,547129.0,949.0
44846,RESTRAUNT,Bombay,901295.0,2153.0
44592,INVESTMENTS,Srinagar,348144.0,518.0
44696,INTERNATIONAL,Goa,959997.0,624.0
44587,MEDICAL,Bhopal,726671.0,1661.0
44884,RETAIL,Amritsar,834434.0,2215.0
44632,RESTRAUNT,Kota,320570.0,867.0
44901,INVESTMENTS,Ambala,1155056.0,1439.0
44880,MEDICAL,Amritsar,1181405.0,1333.0
44683,MEDICAL,Ara,902234.0,909.0
44835,RESTRAUNT,Mon,1009118.0,2325.0
44915,INVESTMENTS,Hyderabad,1098100.0,2210.0
44825,RESTRAUNT,Durg,545268.0,1305.0
44715,INTERNATIONAL,Trichy,1170103.0,2339.0
44911,EDUCATION,Doda,1069605.0,1941.0
44745,RETAIL,Buxar,486056.0,826.0
44649,EDUCATION,Betul,417419.0,481.0
44875,MEDICAL,Bidar,659456.0,2543.0
44562,INTERNATIONAL,Bhind,973806.0,1125.0
44838,RESTRAUNT,Ludhiana,351914.0,446.0
44805,EDUCATION,Goa,888467.0,1305.0
44825,EDUCATION,Srinagar,1028427.0,653.0
44608,INVESTMENTS,Bombay,843245.0,1525.0
44904,RESTRAUNT,Ara,1047748.0,2508.0
44834,PUBLIC,Hyderabad,929724.0,1585.0
44807,RESTRAUNT,Kanpur,604289.0,654.0
44761,INVESTMENTS,Akola,899220.0,877.0
44918,RETAIL,Pune,319480.0,756.0
44750,RETAIL,Vellore,663094.0,405.0
44819,MEDICAL,Kanpur,700875.0,942.0
44882,EDUCATION,Ajmer,1163959.0,2113.0
44666,EDUCATION,Hyderabad,1061543.0,1030.0
44674,RETAIL,Surat,640923.0,531.0
44672,RETAIL,Ajmer,689309.0,1091.0
44794,PUBLIC,Pune,467048.0,1039.0
44804,MEDICAL,Akola,485008.0,1067.0
44915,RESTRAUNT,Pune,1184412.0,1673.0
44769,EDUCATION,Mon,782958.0,1034.0
44915,RETAIL,Buxar,1091056.0,1691.0
44893,MEDICAL,Kota,733420.0,1100.0
44647,MEDICAL,Buxar,983585.0,2452.0
44579,RETAIL,Ara,905327.0,1131.0
44657,MEDICAL,Delhi,890746.0,928.0
44886,PUBLIC,Bhuj,701428.0,662.0
44637,PUBLIC,Kannur,857569.0,731.0
44862,RESTRAUNT,Bhopal,366828.0,1637.0
44833,RETAIL,Ahmedabad,736643.0,896.0
44864,PUBLIC,Kullu,903781.0,1596.0
44753,MEDICAL,Ajmer,580047.0,1246.0
44871,EDUCATION,Srinagar,958521.0,1182.0
44867,RETAIL,Kannur,792293.0,634.0
44662,INVESTMENTS,Bhuj,1201076.0,2540.0
44684,RESTRAUNT,Kannur,363774.0,2097.0
44848,RETAIL,Patiala,675531.0,1109.0
44842,EDUCATION,Patiala,362751.0,2518.0
44674,INVESTMENTS,Bokaro,455795.0,2459.0
44869,MEDICAL,Doda,863708.0,2359.0
44683,INTERNATIONAL,Mathura,614956.0,599.0
44780,INVESTMENTS,Ranchi,1058676.0,2524.0
44883,RESTRAUNT,Kanpur,1108683.0,1164.0
44722,PUBLIC,Konark,962614.0,847.0
44601,EDUCATION,Akola,526188.0,2303.0
44729,PUBLIC,Goa,1147231.0,1779.0
44822,RETAIL,Kota,704887.0,915.0
44809,MEDICAL,Daman,575930.0,2119.0
44737,MEDICAL,Ara,649344.0,734.0
44844,RETAIL,Kanpur,1102093.0,1790.0
44726,INTERNATIONAL,Doda,809509.0,1778.0
44743,EDUCATION,Amritsar,1186214.0,1886.0
44925,RETAIL,Ambala,696996.0,2521.0
44911,INTERNATIONAL,Hyderabad,554193.0,1514.0
44822,INVESTMENTS,Doda,1186581.0,1654.0
44843,EDUCATION,Madurai,794018.0,1569.0
44768,MEDICAL,Pune,376399.0,1945.0
44811,EDUCATION,Pune,929802.0,1972.0
44687,RESTRAUNT,Madurai,341883.0,2298.0
44686,MEDICAL,Kota,411575.0,944.0
44909,INTERNATIONAL,Ajmer,1169578.0,1364.0
44599,PUBLIC,Varanasi,554018.0,1739.0
44720,RETAIL,Bhopal,655420.0,1879.0
44686,RESTRAUNT,Ludhiana,503783.0,716.0
44910,RESTRAUNT,Goa,466932.0,1709.0
44686,EDUCATION,Hyderabad,1195205.0,1890.0
44736,PUBLIC,Tirumala,1003345.0,899.0
44892,RETAIL,Goa,1088622.0,594.0
44911,INTERNATIONAL,Ambala,1091244.0,1768.0
44739,PUBLIC,Lucknow,852913.0,1052.0
44791,RETAIL,Srinagar,959300.0,436.0
44695,PUBLIC,Bhuj,836616.0,2502.0
44718,MEDICAL,Kolkata,680700.0,2246.0
44853,EDUCATION,Vellore,382214.0,2492.0
44580,PUBLIC,Kochin,931125.0,1361.0
44852,EDUCATION,Patiala,784573.0,1917.0
44899,INTERNATIONAL,Bikaner,535986.0,2457.0
44742,INVESTMENTS,Ludhiana,434131.0,1965.0
