issue_id,row_id,column_name,issue_type,current_value,suggested_value,confidence,severity,reason,can_auto_fix
19c49ea6-da24-4a24-a626-66c81dec80ff,I196704,shopping_mall,invalid,MALL,Cevahir AVM,0.5,medium,"Value is not in allowed values: ['Cevahir AVM', 'Emaar Square Mall', 'Forum Istanbul', 'Istinye Park', 'Kanyon', 'Mall of Istanbul', 'Metrocity', 'Metropol AVM', 'Viaport Outlet', 'Zorlu Center'].",True
d38829b4-6e9f-4517-aa4e-aa4fec8e07a6,I317333,payment_method,anomaly,Debit Card,Cash,0.1494,high,Column 'payment_method' deviates from similar normal records.,True
9d9bf0ad-64e0-472a-85f9-13f834f5f275,I317333,shopping_mall,anomaly,Forum Istanbul,Forum Istanbul,0.1494,high,Column 'shopping_mall' deviates from similar normal records.,True
b18ea74c-c9d5-43d9-a243-88272c2354c2,I688768,shopping_mall,anomaly,Viaport Outlet,Forum Istanbul,0.0499,high,Column 'shopping_mall' deviates from similar normal records.,True
21aa8ab2-4998-4d50-be73-2f5c017f0d7d,I412481,shopping_mall,anomaly,Cevahir AVM,Cevahir AVM,0.0155,high,Column 'shopping_mall' deviates from similar normal records.,True
8722481b-bdb3-4732-8830-7483a54e7bd2,I170160,payment_method,anomaly,Debit Card,Credit Card,0.0759,high,Column 'payment_method' deviates from similar normal records.,True
ef3edba1-b52d-4ae1-80f0-36adefbf4234,I402966,shopping_mall,anomaly,Viaport Outlet,Viaport Outlet,0.1277,high,Column 'shopping_mall' deviates from similar normal records.,True
5fa6c3b0-25df-4526-8494-349b4b659780,I291540,shopping_mall,anomaly,Kanyon,Mall of Istanbul,0.0913,high,Column 'shopping_mall' deviates from similar normal records.,True
cb026a10-194b-40b2-8327-adb6f2033f57,I941223,shopping_mall,anomaly,Emaar Square Mall,Emaar Square Mall,0.0751,high,Column 'shopping_mall' deviates from similar normal records.,True
5ccca36a-f2fd-40bd-95d6-056bc14d301d,I236520,shopping_mall,anomaly,Viaport Outlet,Kanyon,0.0224,high,Column 'shopping_mall' deviates from similar normal records.,True
63c87494-8a9a-49fb-8375-c95a0d3a5bee,I283774,category,anomaly,Toys,Cosmetics,0.2033,high,Column 'category' deviates from similar normal records.,True
8c41563e-4264-4c78-af6a-88e64ab4b757,I251779,shopping_mall,anomaly,Zorlu Center,Kanyon,0.0268,high,Column 'shopping_mall' deviates from similar normal records.,True
e4103752-71f6-47cc-a765-baa4b9e300c6,I251307,payment_method,anomaly,Debit Card,Cash,0.1042,high,Column 'payment_method' deviates from similar normal records.,True
0d8f0886-bd76-4848-9d2c-26d4a98dffcd,I188382,shopping_mall,anomaly,Emaar Square Mall,Metrocity,0.0465,high,Column 'shopping_mall' deviates from similar normal records.,True
b3ff260e-154b-44b1-9aea-cfa01911ab9b,I713320,shopping_mall,anomaly,Zorlu Center,Metrocity,0.0135,high,Column 'shopping_mall' deviates from similar normal records.,True
61bc2262-f76b-4ab1-8fe4-b01f3bfc1e57,I125636,payment_method,anomaly,Debit Card,Debit Card,0.0355,high,Column 'payment_method' deviates from similar normal records.,True
dab3800d-9c51-40a0-bd6a-61a47a3e0041,I846448,payment_method,anomaly,Debit Card,Cash,0.09,high,Column 'payment_method' deviates from similar normal records.,True
93d5a21d-0433-4fc0-8cff-2e847de69b83,I255891,shopping_mall,anomaly,Istinye Park,Mall of Istanbul,0.0758,high,Column 'shopping_mall' deviates from similar normal records.,True
cd02c2be-cd59-453a-b7fa-8a83256764b7,I420393,shopping_mall,anomaly,Metrocity,Metropol AVM,0.0149,high,Column 'shopping_mall' deviates from similar normal records.,True
caa81b05-f2da-41fe-bd5b-bffc8fb888a1,I912553,shopping_mall,anomaly,Cevahir AVM,Cevahir AVM,0.0655,high,Column 'shopping_mall' deviates from similar normal records.,True
76880799-89ea-4df1-9e33-c0e69911e4c9,I284202,shopping_mall,anomaly,Istinye Park,Istinye Park,0.0521,high,Column 'shopping_mall' deviates from similar normal records.,True
11ed8516-8273-4761-8c4a-75646516e508,I176554,shopping_mall,anomaly,Emaar Square Mall,Cevahir AVM,0.0541,high,Column 'shopping_mall' deviates from similar normal records.,True
49cd9d90-f038-4bf5-92ff-63be30bb74f7,I139026,shopping_mall,anomaly,Zorlu Center,Mall of Istanbul,0.0613,high,Column 'shopping_mall' deviates from similar normal records.,True
ab2c026d-1e5e-44a1-aa9a-812e512bd565,I216047,shopping_mall,anomaly,Cevahir AVM,Kanyon,0.071,high,Column 'shopping_mall' deviates from similar normal records.,True
af643fc3-673c-4cf6-8cd7-5729dba25a3d,I400888,shopping_mall,anomaly,Zorlu Center,Istinye Park,0.08,high,Column 'shopping_mall' deviates from similar normal records.,True
3e10f114-0f5a-4070-a3e7-9398e4270ea4,I225296,shopping_mall,anomaly,Viaport Outlet,Metrocity,0.0463,high,Column 'shopping_mall' deviates from similar normal records.,True
500bfd17-f559-4fb4-b3e8-4b1f80aabe07,I312066,shopping_mall,anomaly,Metropol AVM,Metropol AVM,0.0674,high,Column 'shopping_mall' deviates from similar normal records.,True
7de102ff-6419-4f6a-af7c-9e14a0f1ecbb,I572573,shopping_mall,anomaly,Metropol AVM,Kanyon,0.029,high,Column 'shopping_mall' deviates from similar normal records.,True
fdb353ad-67fd-4501-812a-aec32685b586,I341437,shopping_mall,anomaly,Viaport Outlet,Emaar Square Mall,0.0792,high,Column 'shopping_mall' deviates from similar normal records.,True
b10b30cf-c0ae-482d-9cef-77d572abcb50,I737951,shopping_mall,anomaly,Viaport Outlet,Istinye Park,0.0737,high,Column 'shopping_mall' deviates from similar normal records.,True
5957dd10-a9f1-400a-9254-cb7242bd34ab,I163650,shopping_mall,anomaly,Viaport Outlet,Kanyon,0.0117,high,Column 'shopping_mall' deviates from similar normal records.,True
eaecb280-f253-4fab-817c-51068a93485f,I274215,payment_method,anomaly,Debit Card,Credit Card,0.1096,high,Column 'payment_method' deviates from similar normal records.,True
626e48c0-e241-4b24-a04f-abc2e1d36752,I429412,category,anomaly,Toys,Cosmetics,0.1094,high,Column 'category' deviates from similar normal records.,True
3e666dc1-c452-4d90-8206-8462f2512758,I229252,shopping_mall,anomaly,Emaar Square Mall,Metrocity,0.0875,high,Column 'shopping_mall' deviates from similar normal records.,True
fe503305-1757-41b9-92f2-62ab458c2360,I599893,gender,anomaly,Male,Male,0.2223,high,Column 'gender' deviates from similar normal records.,True
275e4dca-edb3-47db-b74e-edd84d83d90d,I999141,shopping_mall,anomaly,Viaport Outlet,Metropol AVM,0.016,high,Column 'shopping_mall' deviates from similar normal records.,True
7cdb71f0-4f17-4226-8a09-a27fc47c47e8,I549888,shopping_mall,anomaly,Viaport Outlet,Mall of Istanbul,0.0028,high,Column 'shopping_mall' deviates from similar normal records.,True
bf3c38ce-0f04-470c-a307-cab7fbdc35b5,I210025,shopping_mall,anomaly,Metropol AVM,Cevahir AVM,0.055,high,Column 'shopping_mall' deviates from similar normal records.,True
83984b86-b724-416c-836e-9784458be94f,I297592,shopping_mall,anomaly,Forum Istanbul,Kanyon,0.0478,high,Column 'shopping_mall' deviates from similar normal records.,True
dbc0fe97-0bcb-4ca0-b15a-64f4094f44cc,I317873,shopping_mall,anomaly,Zorlu Center,Kanyon,0.0383,high,Column 'shopping_mall' deviates from similar normal records.,True
ab33ddb8-ca1a-4017-aa67-53829afc7141,I172841,shopping_mall,anomaly,Zorlu Center,Forum Istanbul,0.0276,high,Column 'shopping_mall' deviates from similar normal records.,True
11e1dfa6-442e-4fa3-819d-bef19099a44d,I141434,shopping_mall,anomaly,Forum Istanbul,Kanyon,0.0789,high,Column 'shopping_mall' deviates from similar normal records.,True
5bafeeab-bf45-4e4a-ad79-f6db4b43bdf4,I515685,category,anomaly,Toys,Toys,0.0265,high,Column 'category' deviates from similar normal records.,True
19f47e14-1834-45ea-bf0a-662f0aef9bdd,I125352,shopping_mall,anomaly,Viaport Outlet,Viaport Outlet,0.0346,high,Column 'shopping_mall' deviates from similar normal records.,True
a8f8e01f-9314-4e6e-8bc8-fb63644f67d8,I266017,shopping_mall,anomaly,Viaport Outlet,Kanyon,0.0459,high,Column 'shopping_mall' deviates from similar normal records.,True
