column_name,missing_count,missing_rate,unique_count,min,max,issue_count,anomaly_count,invalid_count
invoice_no,0,0.0,99457,,,0,0,0
customer_id,0,0.0,99457,,,0,0,0
gender,8,0.0001,5,,,57,45,4
age,7,0.0001,52,18.0,69.0,7,0,0
category,1,0.0,21,,,190,175,14
quantity,1,0.0,5,1.0,5.0,1,0,0
price,2,0.0,43,-143.36,5250.0,5,0,3
payment_method,2,0.0,13,,,297,284,11
invoice_date,0,0.0,797,,,0,0,0
shopping_mall,2,0.0,15,,,1589,1582,5
invoice_year,0,0.0,3,2021.0,2023.0,0,0,0
invoice_month,0,0.0,12,1.0,12.0,0,0,0
invoice_day,0,0.0,31,1.0,31.0,0,0,0
day_of_week,0,0.0,7,0.0,6.0,0,0,0
is_weekend,0,0.0,2,0.0,1.0,0,0,0
unit_price,3,0.0,16,-35.84,1050.0,3,0,3
base_unit_price_by_category,0,0.0,12,-35.84,1050.0,0,0,0
price_deviation_from_category,3,0.0,7,-30.3,5.684341886080802e-14,1,1,0
age_group,7,0.0001,5,,,17,17,0
quantity_band,1,0.0,3,,,0,0,0
