issue_id,row_id,column_name,issue_type,current_value,suggested_value,confidence,severity,reason,can_auto_fix
d63eb265-2bbc-4b3d-aa5d-f24c4328cfe9,I196704,shopping_mall,invalid,MALL,Cevahir AVM,0.5,medium,"Value is not in allowed values: ['Cevahir AVM', 'Emaar Square Mall', 'Forum Istanbul', 'Istinye Park', 'Kanyon', 'Mall of Istanbul', 'Metrocity', 'Metropol AVM', 'Viaport Outlet', 'Zorlu Center'].",True
da453358-b671-49f4-859e-f08984dd35c4,I317333,payment_method,anomaly,Debit Card,Cash,0.0602,high,Column 'payment_method' deviates from similar normal records.,True
ad083acb-ee9d-4d48-82f1-8f1332860fe8,I317333,shopping_mall,anomaly,Forum Istanbul,Forum Istanbul,0.0602,high,Column 'shopping_mall' deviates from similar normal records.,True
1622e40f-b367-4f68-b3a0-0fba46384dd4,I688768,shopping_mall,anomaly,Viaport Outlet,Istinye Park,0.0532,high,Column 'shopping_mall' deviates from similar normal records.,True
4a7e1e5d-3545-4ed9-a437-a1d4338eed08,I195396,shopping_mall,anomaly,Istinye Park,Mall of Istanbul,0.0055,high,Column 'shopping_mall' deviates from similar normal records.,True
ffc50e6b-c7fc-48b3-8e9d-334b15e09b46,I331891,shopping_mall,anomaly,Emaar Square Mall,Emaar Square Mall,0.1249,high,Column 'shopping_mall' deviates from similar normal records.,True
c560bdbd-5a03-4a6f-9b2f-40c0d6e8cbbb,I339732,gender,anomaly,Male,Female,0.0499,high,Column 'gender' deviates from similar normal records.,True
6b7c6712-c797-462d-8768-8781cf4b1389,I339732,category,anomaly,Food & Beverage,Clothing,0.0499,high,Column 'category' deviates from similar normal records.,True
f40c0ba4-b53f-4307-bbb5-0c774589a545,I339732,shopping_mall,anomaly,Emaar Square Mall,Emaar Square Mall,0.0499,high,Column 'shopping_mall' deviates from similar normal records.,True
d9a59aa8-bde2-4e6e-afa6-c654fe46821b,I473411,shopping_mall,anomaly,Metropol AVM,Mall of Istanbul,0.0137,high,Column 'shopping_mall' deviates from similar normal records.,True
0def589e-5901-466a-9eff-ffb08dbde155,I204979,category,anomaly,Souvenir,Souvenir,0.0188,high,Column 'category' deviates from similar normal records.,True
