issue_id,row_id,column_name,issue_type,current_value,suggested_value,confidence,severity,severity_score,reason,source_method,can_auto_fix,created_at
83ac15e9-8af8-441f-9fec-a47cd1d41711,I196704,shopping_mall,invalid,MALL,Cevahir AVM,0.5,medium,0.4,"Value is not in allowed values: ['Cevahir AVM', 'Emaar Square Mall', 'Forum Istanbul', 'Istinye Park', 'Kanyon', 'Mall of Istanbul', 'Metrocity', 'Metropol AVM', 'Viaport Outlet', 'Zorlu Center'].",rule_invalid_detector,True,2026-07-01T06:56:22.221385
df05b19b-1ee7-4b0e-99c0-09377959217c,I317333,payment_method,anomaly,Debit Card,Cash,0.0602,high,0.5,Column 'payment_method' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:44.245077
70d40437-b0eb-4e4b-b88a-673027bad34e,I317333,shopping_mall,anomaly,Forum Istanbul,Forum Istanbul,0.0602,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:44.245077
b2d9a141-adf4-43ed-9e20-5b9f6e502fab,I688768,shopping_mall,anomaly,Viaport Outlet,Forum Istanbul,0.0532,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:44.296577
7199c2e9-4ea0-4303-967f-9f8d7e40ee98,I170160,payment_method,anomaly,Debit Card,Credit Card,0.0492,high,0.5,Column 'payment_method' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:45.197072
eefe7819-ef15-4939-b4e5-c5ac9922f8fb,I402966,shopping_mall,anomaly,Viaport Outlet,Viaport Outlet,0.0321,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:45.293989
69e7874a-9bc8-40a8-ac3a-46afd0efe745,I291540,shopping_mall,anomaly,Kanyon,Mall of Istanbul,0.1337,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:45.540701
3aba744f-5420-472a-b5d9-d661dc3e087b,I283774,category,anomaly,Toys,Cosmetics,0.1399,high,0.5,Column 'category' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:46.563660
9c58de16-a113-4101-99dd-e0d5159128ea,I251307,payment_method,anomaly,Debit Card,Cash,0.0563,high,0.5,Column 'payment_method' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:47.021754
7434d12c-74fb-412c-a894-8021b04511ff,I188382,shopping_mall,anomaly,Emaar Square Mall,Metrocity,0.0091,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:47.672784
de4dbb48-0a27-4326-8fd0-c9c78d8d76d5,I125636,payment_method,anomaly,Debit Card,Debit Card,0.068,high,0.5,Column 'payment_method' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:48.259738
f9ed27f8-1639-4f7c-bde9-e011c69a2aaf,I846448,payment_method,anomaly,Debit Card,Cash,0.0694,high,0.5,Column 'payment_method' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:48.458016
b2ea943d-0171-4bbd-99f9-73f4d3b3930d,I228888,shopping_mall,anomaly,Kanyon,Kanyon,0.0268,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:49.103554
db50a860-483d-4928-8b5f-66af3253a5bd,I312437,shopping_mall,anomaly,Emaar Square Mall,Emaar Square Mall,0.0071,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:49.304766
e5b9c342-f4c2-4387-941c-3472d763d059,I255891,shopping_mall,anomaly,Istinye Park,Mall of Istanbul,0.0546,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:49.653706
74b6dd5c-847c-4d8b-911b-a207289fc203,I420393,shopping_mall,anomaly,Metrocity,Metropol AVM,0.0268,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:49.901847
0191e6a8-518f-42f5-affc-a9e4e75c69ea,I169599,shopping_mall,anomaly,Metropol AVM,Mall of Istanbul,0.0521,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:50.187954
c213bb8e-0fb7-479b-9ea6-3693dd7973b1,I912553,shopping_mall,anomaly,Cevahir AVM,Cevahir AVM,0.0077,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:50.546264
05cd54e5-aea5-460d-8eac-b6f5fd692854,I284202,shopping_mall,anomaly,Istinye Park,Istinye Park,0.011,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:51.103296
a0d4ebe5-66ad-42a3-b267-e84461b21524,I176554,shopping_mall,anomaly,Emaar Square Mall,Cevahir AVM,0.0452,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:51.153104
6815a4c2-16fb-4c5c-950f-7d573086a09a,I216047,shopping_mall,anomaly,Cevahir AVM,Kanyon,0.047,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:51.356562
eca84fbc-4099-406c-923a-bf6d9fb6a824,I253364,payment_method,anomaly,Debit Card,Cash,0.0058,high,0.5,Column 'payment_method' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T06:56:51.607844
