column_name,missing_count,missing_rate,unique_count,min,max,issue_count,anomaly_count,invalid_count
invoice_no,0,0.0,1000,,,0,0,0
customer_id,0,0.0,1000,,,0,0,0
gender,0,0.0,2,,,8,8,0
age,0,0.0,52,18.0,69.0,0,0,0
category,0,0.0,8,,,13,13,0
quantity,0,0.0,5,1.0,5.0,0,0,0
price,0,0.0,40,5.23,5250.0,0,0,0
payment_method,0,0.0,3,,,23,23,0
invoice_date,0,0.0,578,,,0,0,0
shopping_mall,0,0.0,11,,,51,50,1
invoice_year,0,0.0,3,2021.0,2023.0,0,0,0
invoice_month,0,0.0,12,1.0,12.0,0,0,0
invoice_day,0,0.0,31,1.0,31.0,0,0,0
day_of_week,0,0.0,7,0.0,6.0,0,0,0
is_weekend,0,0.0,2,0.0,1.0,0,0,0
unit_price,0,0.0,13,5.2299999999999995,1050.0,0,0,0
base_unit_price_by_category,0,0.0,8,5.23,1050.0,0,0,0
price_deviation_from_category,0,0.0,6,-7.105427357601002e-15,5.684341886080802e-14,0,0,0
age_group,0,0.0,5,,,8,8,0
quantity_band,0,0.0,3,,,0,0,0
