issue_id,row_id,column_name,issue_type,current_value,suggested_value,confidence,severity,severity_score,reason,source_method,can_auto_fix,created_at
02a8d1ef-2197-484b-84c3-55ca94698898,I196704,shopping_mall,invalid,MALL,Cevahir AVM,0.5,medium,0.4,"Value is not in allowed values: ['Cevahir AVM', 'Emaar Square Mall', 'Forum Istanbul', 'Istinye Park', 'Kanyon', 'Mall of Istanbul', 'Metrocity', 'Metropol AVM', 'Viaport Outlet', 'Zorlu Center'].",rule_invalid_detector,True,2026-07-01T07:06:57.679982
5bc134f3-9a35-47f0-b422-5a9a80f014c9,I317333,payment_method,anomaly,Debit Card,Cash,0.0628,high,0.5,Column 'payment_method' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.123607
f3d1c153-727f-437b-b308-503736ac971e,I317333,shopping_mall,anomaly,Forum Istanbul,Mall of Istanbul,0.0628,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.124605
b57dd32d-ec50-48de-93d5-26fc9b807e92,I688768,payment_method,anomaly,Credit Card,Cash,0.2146,high,0.5,Column 'payment_method' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.157189
2ef7697a-eb6a-4caa-997b-100b7687f318,I688768,shopping_mall,anomaly,Viaport Outlet,Emaar Square Mall,0.2,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.157189
a213b072-ca12-4927-ba38-9887664aab0b,I252275,shopping_mall,anomaly,Kanyon,Cevahir AVM,0.0745,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.190524
d78aa813-7bf1-4fc2-9da5-c00607938630,I331891,shopping_mall,anomaly,Emaar Square Mall,Emaar Square Mall,0.0072,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.222741
0c1ed6a4-88aa-4047-b6ee-bdae894b4dc1,I269690,category,anomaly,Cosmetics,Cosmetics,0.0716,high,0.5,Column 'category' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.290541
2f8a87b2-6a0c-4302-8a86-d373348ea330,I260525,gender,anomaly,Male,Female,0.0527,high,0.5,Column 'gender' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.362179
19bf0d4c-0fe5-4445-a62b-85bababeacc4,I260525,category,anomaly,Toys,Food & Beverage,0.0527,high,0.5,Column 'category' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.363189
7fc58a06-8a2a-4eca-8e4d-ed590077345f,I260525,shopping_mall,anomaly,Emaar Square Mall,Zorlu Center,0.0527,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.363189
f60942a6-0bef-493b-94bf-b6a790c15355,I278401,category,anomaly,Toys,Cosmetics,0.0136,high,0.5,Column 'category' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.480315
d545632b-e136-4ce6-8a90-f7c724c2baa0,I278401,payment_method,anomaly,Debit Card,Credit Card,0.0136,high,0.5,Column 'payment_method' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.481324
b7502394-eb63-42bf-8d45-15aae7d8e7eb,I402966,shopping_mall,anomaly,Viaport Outlet,Forum Istanbul,0.0223,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.513747
e5085f91-9a4f-4932-9a9d-e6bf6e49007f,I530401,shopping_mall,anomaly,Zorlu Center,Kanyon,0.0217,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.576101
bdd992ac-8e35-465b-8c80-14ce3537530f,I229355,gender,anomaly,Male,Female,0.0396,high,0.5,Column 'gender' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.608254
41677101-e76a-4ccc-8898-9e4f035386d5,I246151,category,anomaly,Books,Cosmetics,0.0081,high,0.5,Column 'category' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.639672
ca5031b3-5656-4b10-b583-15cd6a7bdfee,I246151,shopping_mall,anomaly,Metropol AVM,Kanyon,0.0081,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.639672
85dcea66-2807-4548-aebd-7eaa9419a23b,I191148,shopping_mall,anomaly,Forum Istanbul,Kanyon,0.0398,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.776181
8385a18b-247a-4de3-8f20-b7cba8d65816,I305432,shopping_mall,anomaly,Mall of Istanbul,Cevahir AVM,0.0059,high,0.5,Column 'shopping_mall' deviates from similar normal records.,isolation_forest+feature_contribution,True,2026-07-01T07:07:00.808241
