issue_id,row_id,column_name,issue_type,current_value,suggested_value,confidence,severity,reason,can_auto_fix
a0f4e322-0a58-4f05-9782-e153b2c3cafe,I196704,shopping_mall,invalid,MALL,Cevahir AVM,0.5,medium,"Value is not in allowed values: ['Cevahir AVM', 'Emaar Square Mall', 'Forum Istanbul', 'Istinye Park', 'Kanyon', 'Mall of Istanbul', 'Metrocity', 'Metropol AVM', 'Viaport Outlet', 'Zorlu Center'].",True
7ae49346-df8e-4a77-9488-26c4ef3008c6,I317333,payment_method,anomaly,Debit Card,Cash,0.0628,high,Column 'payment_method' deviates from similar normal records.,True
99e6e4af-e80a-4f91-bfa5-2b714d5cc8f6,I317333,shopping_mall,anomaly,Forum Istanbul,Mall of Istanbul,0.0628,high,Column 'shopping_mall' deviates from similar normal records.,True
9f090cf5-f88e-4082-8263-afb12d902718,I688768,payment_method,anomaly,Credit Card,Cash,0.2146,high,Column 'payment_method' deviates from similar normal records.,True
9be09d64-fd81-478b-b5b8-0e5b8b6969d7,I688768,shopping_mall,anomaly,Viaport Outlet,Emaar Square Mall,0.2,high,Column 'shopping_mall' deviates from similar normal records.,True
f500aff4-e678-4e52-9e6d-dd9dae54674c,I252275,shopping_mall,anomaly,Kanyon,Cevahir AVM,0.0745,high,Column 'shopping_mall' deviates from similar normal records.,True
187cedae-2950-4cb9-8434-2301f92795cb,I331891,shopping_mall,anomaly,Emaar Square Mall,Emaar Square Mall,0.0072,high,Column 'shopping_mall' deviates from similar normal records.,True
ec42325d-c3dc-4e46-89c3-d6500bfff1cb,I269690,category,anomaly,Cosmetics,Cosmetics,0.0716,high,Column 'category' deviates from similar normal records.,True
22cdf813-abdf-4dbb-bf78-81976b367ffd,I260525,gender,anomaly,Male,Female,0.0527,high,Column 'gender' deviates from similar normal records.,True
a3c4d0d4-e7a8-4702-b6f2-7d2cea3f1c9a,I260525,category,anomaly,Toys,Food & Beverage,0.0527,high,Column 'category' deviates from similar normal records.,True
066ed3a6-49b6-4b2f-85ff-2d8be6fe142d,I260525,shopping_mall,anomaly,Emaar Square Mall,Zorlu Center,0.0527,high,Column 'shopping_mall' deviates from similar normal records.,True
ca9fbf45-9d86-4d7a-9945-a7820ac3fe74,I278401,category,anomaly,Toys,Cosmetics,0.0136,high,Column 'category' deviates from similar normal records.,True
dc22e1a8-7340-45c6-87ea-927e7d7281fa,I278401,payment_method,anomaly,Debit Card,Credit Card,0.0136,high,Column 'payment_method' deviates from similar normal records.,True
48208738-ad1d-49af-bf87-1f84d4d50366,I402966,shopping_mall,anomaly,Viaport Outlet,Forum Istanbul,0.0223,high,Column 'shopping_mall' deviates from similar normal records.,True
1d428235-ed52-406d-8156-c45303e6faed,I530401,shopping_mall,anomaly,Zorlu Center,Kanyon,0.0217,high,Column 'shopping_mall' deviates from similar normal records.,True
23b13a7b-7ffa-4206-ba4e-1a778d27d177,I229355,gender,anomaly,Male,Female,0.0396,high,Column 'gender' deviates from similar normal records.,True
