column_name,missing_count,missing_rate,unique_count,min,max,issue_count,anomaly_count,invalid_count
transaction_id,0,0.0,10000,,,0,0,0
date,0,0.0,365,,,0,0,0
domain,163,0.0163,8,,,400,24,213
location,201,0.0201,46,,,430,229,0
value,145,0.0145,9586,-999.0,12008670.0,371,6,220
transaction_count,158,0.0158,2436,-10.0,2545000.0,400,7,235
year,0,0.0,1,1970.0,1970.0,0,0,0
month,0,0.0,1,1.0,1.0,0,0,0
day,0,0.0,1,1.0,1.0,0,0,0
day_of_week,0,0.0,1,3.0,3.0,0,0,0
avg_transaction_value,304,0.0304,9685,-119929.2,27162.116788321167,466,12,454
