invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,invoice_year,invoice_month,invoice_day,day_of_week,is_weekend,unit_price,age_group,quantity_band,price_deviation_from_category
I500864,C290114,Male,38,Food & Beverage,,5.23,Debit Card,11/8/2021 0:00,Kanyon,2021,11,8,0,0,5.2311123,36_45,single,0
I123119,C102303,Female,60,Cosmetics,,40.66,Cash,4/16/2022 0:00,Mel AVM,2022,4,16,5,1,40.66,56_plus,single,0
I269853,C236844,Male,36,Cosmetics,,40.66,Debit Card,7/11/2021 0:00,Kanyon,2021,7,11,6,1,40.66,36_45,single,0
I144964,C187906,Male,36,Clothing,,300.08,Debit Card,6/3/2022 0:00,Mall of Istanbul,2022,6,3,4,0,300.08,36_45,single,0
I287408,C199645,Female,18,Books,3,,Cash,9/19/2022 0:00,Zorlu Center,2022,9,19,0,0,15.15,18_25,small,0
I312703,C119951,Male,38,Toys,4,,Credit Card,7/29/2022 0:00,Mall of Istanbul,2022,7,29,4,0,35.84,36_45,bulk,0
I276802,C897179,Female,55,Cosmetics,2,,Debit Card,12/16/2021 0:00,Metrocity,2021,12,16,3,0,40.66,46_55,small,0
I165476,C967168,Female,20,Clothing,5,,Credit Card,9/20/2022 0:00,Kanyon,2022,9,20,,0,300.08000000000004,18_25,bulk,5.684341886080804e-14
I334856,C300191,Femal,37,Food & Beverage,5,26.15,Cash,1/13/2023 0:00,Metropol AVM,2023,1,13,4,0,5.23,36_45,bulk,-8.88E-16
I118109,C180069,Femal,66,Clothing,2,600.16,Debit Card,5/29/2022 0:00,Metropol AVM,2022,5,29,6,1,300.08,56_plus,small,0
I268415,C180752,Femal,58,Cosmetics,1,40.66,Cash,11/10/2022 0:00,Istinye Park,,11,10,3,0,40.66,56_plus,single,0
I895783,C162025,Femal,67,Clothing,2,,Credit Card,7/3/2021 0:00,Metropol AVM,2021,7,3,5,1,300.08,56_plus,small,0
I434421,C621901,Male,54,Clothin,4,1200.32,Cash,3/9/2021 0:00,Metrocity,2021,3,9,1,0,300.08,46_55,bulk,0
I114102,C251705,Male,24,Slothing,3,900.24,Credit Card,10/13/2022 0:00,Kayon,2022,10,13,3,0,300.08,18_25,small,0
I143969,C241416,Female,28,Clothin,4,1200.32,Cash,8/24/2021 0:00,Kanyo,2021,8,24,1,0,300.08,26_35,bulk,0
I334897,C257273,Female,43,Clothin,1,300.08,Cash,3/24/2021 0:00,Metrocity,2021,3,24,2,0,300.08,36_45,single,0
I119579,C133055,Female,44,Cloing,3,900.24,Credit Car,6/16/2022 0:00,Metrocity,2022,6,16,3,0,300.08,36_45,small,0
I169419,C252198,Male,61,cloth,1,300.08,Credit Car,2/3/2021 0:00,Mall of Istanbul,2021,2,3,2,0,300.08,56_plus,single,0
I294047,C817817,Male,24,Food & Beverage,1,5.23,Credit Car,4/14/2021 0:00,Metrocity,2021,4,14,2,0,5.23,18_25,single,0
I255045,C226921,Female,27,Shoes,5,3000.85,Credit Car,8/5/2022 0:00,Cevahir AVM,2022,8,5,4,0,600.17,26_35,bulk,0
I331044,C135617,Female,27,Clothing,1,300.08,Credit Card,2/2/2022 0:00,Mall of Istanbu,2022,2,2,2,0,300.08,26_35,single,0
I696532,C358737,Female,45,Toys,2,71.68,Cash,10/17/2022 0:00,Mall  Istanbu,2022,10,17,0,0,35.84,36_45,small,0
I178651,C309085,Female,32,Shoes,2,1200.34,Credit Card,1/8/2023 0:00,Mall of Istanbu,2023,1,8,6,1,600.17,26_35,small,0
I231082,C179361,Male,68,Shoes,2,1200.34,Credit Card,8/26/2021 0:00,Mall of Istanbu,2021,8th,26,3,0,600.1712asd1,56_plus,small,0
I139441,C327787,Male,150,Clothing,4,1200.32,Cash,2/19/2023 0:00,Istinye Park,2023,2,19,6,1,300.08,18_25,bulk,0
I689811,C270371,Female,150,Food & Beverage,2,10.46,Debit Card,12/8/2022 0:00,Mall of Istanbul,2022,12,8,3,0,5.23,18_25,small,0
I196210,C308401,Female,150,Cosmetics,5,203.3,Cash,8/15/2022 0:00,Istinye Park,2022,8,15,0,0,40.66,56_plus,bulk,7.105427357601002e-15
I316595,C257597,Male,150,Food & Beverage,3,15.69,Credit Card,11/10/2021 0:00,Kanyon,2021,11,10,2,0,5.23,46_55,small,-8.88E-16
I197566,C383193,Male,49,Books,-5,60.6,Cash,8/8/2022 0:00,Forum Istanbul,2022,8,8,0,0,15.15,46_55,bulk,0
I876913,C141456,Female,56,Clothing,-5,600.16,Cash,3/5/2022 0:00,Metropol AVM,2022,3,5,5,1,300.08,56_plus,small,0
I217703,C144578,Male,36,Shoes,-5,1800.51,Credit Card,11/2/2021 0:00,Emaar Square Mall,2021,11,2,1,0,600.17,36_45,small,0
I223348,C153664,Female,30,Clothing,-5,600.16,Credit Card,1/12/2021 0:00,Kanyon,2021,1,12,1,0,300.08,26_35,small,0
I141515,C113081,Male,54,Cosmetics,1000,999999999,Cash,1/10/2021 0:00,Mall of Istanbul,2021,1,10,6,1,99999,46_55,bulk,99999
I405284,C759283,Female,53,Clothing,4,1200.32,Cash,11/5/2021 0:00,Mall of Istanbul,2021,11,5,4,0,300.08,46_55,bulk,0
I335438,C180998,Female,59,Souven,4,46.92,Cash,6/15/2022 0:00,Kanyon,2022,6,15,2,0,11.73,56_plus,bulk,0
I503250,C889230,Female,61,To,5,179.2,Cash,3/3/2022 0:00,Istinye Park,2022,3,3,3,0,35.84,56_plus,bulk,-7.11E-15
I126933,C453740,Female,56,Clothing,3,900.24,Debit Card,11/25/2021 0:00,Metrocity,2021,11,25,3,0,300.08,56_plus,small,0
I302656,C215414,Female,26,Technology,5,5250,Cash,3/4/2023 0:00,Cevahir AVM,2023,3,4,5,1,1050,26_35,bulk,0
I136750,C236672,Female,19,Clothing,1,300.08,Cash,1/28/2023 0:00,Mall of Istanbul,2023,1,28,5,1,300.08,18_25,single,0
I206258,C177989,Female,52,Clothing,2,600.16,Debit Card,1/30/2021 0:00,Zorlu Center,2021,1,30,5,1,300.08,46_55,small,0
I502247,C322902,Female,52,Clothing,2,600.16,Cash,4/16/2022 0:00,Metropol AVM,2022,4,16,5,1,300.08,46_55,small,0
I325179,C304264,Female,37,Food & Beverage,2,10.46,Credit Card,7/1/2022 0:00,Mall of Istanbul,2022,7,1,4,0,5.23,36_45,small,0
I323026,C152490,Male,41,Clothing,1,300.08,Debit Card,4/25/2022 0:00,Emaar Square Mall,2022,4,25,0,0,300.08,36_45,single,0
I178416,C625042,Female,19,Food & Beverage,3,15.69,Credit Card,2/7/2023 0:00,Cevahir AVM,2023,2,7,1,0,5.23,18_25,small,-8.88E-16
I788857,C110795,Female,48,Cosmetics,1,40.66,Credit Card,2/11/2023 0:00,Viaport Outlet,2023,2,11,5,1,40.66,46_55,single,0
I148202,C172200,Female,41,Clothing,1,300.08,Cash,10/10/2021 0:00,Emaar Square Mall,2021,10,10,6,1,300.08,36_45,single,0
I120001,C105238,Female,44,Souvenir,2,23.46,Cash,11/1/2022 0:00,Metrocity,2022,11,1,1,0,11.73,36_45,small,0
I231670,C416670,Female,60,Food & Beverage,1,5.23,Credit Card,11/30/2021 0:00,Kanyon,2021,11,30,1,0,5.23,56_plus,single,0
I340197,C324834,Male,55,Clothing,2,600.16,Debit Card,10/19/2021 0:00,Forum Istanbul,2021,10,19,1,0,300.08,46_55,small,0
I980789,C179618,Male,25,Clothing,2,600.16,Debit Card,8/29/2022 0:00,Metrocity,2022,8,29,0,0,300.08,18_25,small,0
I361361,C960474,Male,52,Technology,5,5250,Credit Card,12/17/2022 0:00,Metrocity,2022,12,17,5,1,1050,46_55,bulk,0
I322039,C257825,Male,34,Books,3,45.45,Credit Card,7/9/2021 0:00,Metropol AVM,2021,7,9,4,0,15.15,26_35,small,0
I147357,C145949,Male,40,oys,3,107.52,Cas,3/23/2021 0:00,Metrocity,2021,3,23tasd,1,0,35.84,36_45,small,-7.11E-15
I151997,C307112,Female,46,Cosmetics,3,121.98,Cash,11/27/2022 0:00,Cevahir AVM,2022,11,27,6,1,40.66,46_55,small,7.105427357601002e-15
I202200,C181364,Female,36,Food & Beverage,4,20.92,Cash,7/22/2021 0:00,Mall of Istanbul,2021,7,22,3,0,5.23,36_45,bulk,0
I821297,C155675,Male,56,Clothing,5,1500.4,Cash,8/1/2022 0:00,Kanyon,2022,8,1,0,0,300.08000000000004,56_plus,bulk,5.684341886080804e-14
I314205,C121594,Male,55,Clothing,5,1500.4,Credit ,8/31/2022 0:00,Mall of Istanbul,2022,8,31,2,0,300.08000000000004,46_55,bulk,5.684341886080804e-14
I200567,C207718,Female,38,Clothing,5,1500.4,Cash,3/18/2021 0:00,Istinye Park,2021,3,18,3,0,300.08000000000004,36_45,bulk,5.684341886080804e-14
I272211,C134276,Female,62,Cosmetics,2,81.32,Cash,3/20/2021 0:00,Kanyon,2021,3,20,5,1,40.66,56_plus,small,0
I241447,C150250,Male,67,Cosmetics,3,121.98,Credit Card,9/9/2022 0:00,Kanyon,2022,9,9,4,0,40.66,56_plus,small,7.105427357601002e-15
I243046,C994741,Female,42,Clothing,1,300.08,Credit Card,7/23/2021 0:00,Kanyon,2021,7,23,4,0,300.08,36_45,single,0
I222720,C294792,Male,26,Clothing,1,300.08,Credit Card,2/23/2021 0:00,Mall of Istanbul,2021,2,23,1,0,300.08,26_35,single,0
I190345,C137037,Male,24,Clothing,4,1200.32,Cash,2/18/2023 0:00,Metropol AVM,2023,2,18,5,1,300.08,18_25,bulk,0
I144679,C513060,Male,18,Toys,4,143.36,Cash,8/9/2022 0:00,Istinye Park,2022,8,,1,0,35.84,18_25,bulk,0
I509711,C132560,Male,33,Food & Beverage,1,5.23,Card,10/4/2022 0:00,Mall of Istanbul,2022,10,4,1,0,5.23,26_35,single,0
I316361,C254200,Male,30,Shoes,3,1800.51,Credit,10/29/2022 0:00,Istinye Park,2022,10,29,5,1,600.17,26_35,small,0
I202590,C172981,Male,31,Food & Beverage,5,26.15,Cash,3/24/2021 0:00,Kanyon,2021,3,24,2,0,5.23,26_35,bulk,-8.88E-16
I164155,C200843,Female,43,Technology,1,1050,Cash,6/14/2021 0:00,Metropol AVM,2021,6,14,0,0,1050,36_45,single,0
I240452,C121289,Female,51,Technology,1,1050,Debit Card,2/1/2023 0:00,Metrocity,2023,2,1,2,0,1050,46_55,single,0
I155567,C113557,Female,66,Clothing,5,1500.4,Cash,9/19/2021 0:00,Forum Istanbul,2021,9,19,6,1,300.08000000000004,56_plus,bulk,5.684341886080804e-14
I338780,C481875,Male,64,Clothing,3,900.24,Cash,2/2/2023 0:00,Zorlu Center,2023,2,2,3,0,300.08,56_plus,small,0
