column_name,missing_count,missing_rate,unique_count,min,max,issue_count,anomaly_count,invalid_count
invoice_no,0,0.0,5001,,,0,0,0
customer_id,0,0.0,5001,,,0,0,0
gender,0,0.0,3,,,34,33,1
age,1,0.0002,53,18.0,150.0,3,1,1
category,0,0.0,11,,,51,48,2
quantity,1,0.0002,6,-5.0,5.0,2,0,1
price,1,0.0002,41,5.23,5250.0,1,0,0
payment_method,1,0.0002,5,,,97,94,2
invoice_date,2,0.0004,796,,,2,0,0
shopping_mall,0,0.0,12,,,192,190,2
invoice_year,0,0.0,4,2021.0,2188.0,0,0,0
invoice_month,0,0.0,12,1.0,12.0,1,0,1
invoice_day,0,0.0,31,1.0,31.0,0,0,0
day_of_week,0,0.0,7,0.0,6.0,0,0,0
is_weekend,0,0.0,2,0.0,1.0,0,0,0
unit_price,1,0.0002,11,5.23,999999.0,4,0,4
age_group,0,0.0,5,,,27,26,1
quantity_band,1,0.0002,3,,,3,3,0
price_deviation_from_category,1,0.0002,2,0.0,999999.0,0,0,0
