transaction_id,date,domain,location,value,transaction_count,year,month,day,day_of_week,avg_transaction_value
T00000000,1970-01-01 00:00:00.000044883,MEDICAL,Kannur,1084227.0,1637.0,1970,1,1,3,662.3255956017105
T00000001,1970-01-01 00:00:00.000044903,RETAIL,Delhi,1088663.0,905.0,1970,1,1,3,1202.9425414364641
T00000002,1970-01-01 00:00:00.000044817,INTERNATIONAL,Ajmer,1188945.0,1187.0,1970,1,1,3,1001.6385846672283
T00000003,1970-01-01 00:00:00.000044773,MEDICAL,Bhopal,1050701.0,2076.0,1970,1,1,3,506.1180154142582
T00000004,1970-01-01 00:00:00.000044573,INVESTMENTS,Patiala,467332.0,1564.0,1970,1,1,3,298.8056265984655
T00000005,1970-01-01 00:00:00.000044714,PUBLIC,Kullu,983207.0,1375.0,1970,1,1,3,715.0596363636364
T00000006,1970-01-01 00:00:00.000044828,PUBLIC,Trichy,721344.0,1343.0,1970,1,1,3,537.1139240506329
T00000007,1970-01-01 00:00:00.000044600,RETAIL,Lunglei,598112.0,2199.0,1970,1,1,3,271.9927239654388
T00000008,1970-01-01 00:00:00.000044875,INTERNATIONAL,Srinagar,384250.0,758.0,1970,1,1,3,506.9261213720317
T00000009,1970-01-01 00:00:00.000044801,RESTAURANT,Bidar,1034202.0,1241.0,1970,1,1,3,833.3618049959709
T00000010,1970-01-01 00:00:00.000044909,PUBLIC,Indore,729104.0,550.0,1970,1,1,3,1325.6436363636365
T00000011,1970-01-01 00:00:00.000044839,RETAIL,Ambala,7195620.0,638.0,1970,1,1,3,11278.401253918495
T00000012,1970-01-01 00:00:00.000044865,RETAIL,Kannur,413877.0,2364.0,1970,1,1,3,175.0748730964467
T00000013,1970-01-01 00:00:00.000044656,PUBLIC,Srinagar,411877.0,1576.0,1970,1,1,3,261.3432741116751
T00000014,1970-01-01 00:00:00.000044724,RETAIL,Kochin,399842.0,0.0,1970,1,1,3,0.0
T00000015,1970-01-01 00:00:00.000044778,PUBLIC,Delhi,0.0,1386.0,1970,1,1,3,0.0
T00000016,1970-01-01 00:00:00.000044861,UNKNOWN_DOMAIN,Ahmedabad,830661.0,2237.0,1970,1,1,3,371.3281180151989
T00000017,1970-01-01 00:00:00.000044633,INVESTMENTS,Mon,701288.0,669.0,1970,1,1,3,1048.2630792227205
T00000018,1970-01-01 00:00:00.000044627,MEDICAL,Srinagar,512578.0,1150.0,1970,1,1,3,445.72
T00000019,1970-01-01 00:00:00.000044789,RETAIL,Mathura,1179333.0,1401.0,1970,1,1,3,841.779443254818
T00000020,1970-01-01 00:00:00.000044902,INTERNATIONAL,Madurai,404094.0,997.0,1970,1,1,3,405.3099297893681
T00000021,1970-01-01 00:00:00.000044802,MEDICAL,Durg,580185.0,2530.0,1970,1,1,3,229.32213438735178
T00000022,1970-01-01 00:00:00.000044574,INVESTMENTS,Jaipur,1168242.0,2148.0,1970,1,1,3,543.8743016759777
T00000023,1970-01-01 00:00:00.000044815,RETAIL,Lunglei,845522.0,471.0,1970,1,1,3,
T00000024,1970-01-01 00:00:00.000044815,RESTAURANT,Bombay,1143723.0,918.0,1970,1,1,3,1245.8856209150326
T00000025,1970-01-01 00:00:00.000044619,MEDICAL,Kanpur,441258.0,545.0,1970,1,1,3,809.6477064220184
T00000026,1970-01-01 00:00:00.000044597,INVESTMENTS,Patiala,1104828.0,2157.0,1970,1,1,3,512.2058414464534
T00000027,1970-01-01 00:00:00.000044777,RESTAURANT,Bombay,690391.0,590.0,1970,1,1,3,1170.1542372881356
T00000028,1970-01-01 00:00:00.000044815,RESTAURANT,Akola,775952.0,2315.0,1970,1,1,3,335.1844492440605
T00000029,1970-01-01 00:00:00.000044628,INVESTMENTS,Delhi,945574.0,1470.0,1970,1,1,3,643.2476190476191
